company,address,address2,city,state,scf,zip,zip4,mailscore,sic1code,sic1,sic2code,sic2,sic3code,sic3,sic4code,sic4
BOSCO'S,2606 SPENARD RD,,ANCHORAGE,AK,995,99503,2309,3,59479903,,59470105,NOVELTIES,59429905,COMIC BOOKS,,
N J CARDS & COMICS,3020 N LAZY EIGHT CT STE 16,,WASILLA,AK,996,99654,4369,3,53119901,"DEPARTMENT STORES, DISCOUNT",59429905,COMIC BOOKS,59450203,"GAMES (CHESS, BACKGAMMON, AND OTHER DURABLE GAMES)",,
A NO 1 CARDS COMICS & CLLCTBLS,3101 PENLAND PKWY STE F6,,ANCHORAGE,AK,995,99508,1910,4,59429905,COMIC BOOKS,,,,,,
ANDERSON LAW GROUP,645 G ST # 100570 570,,ANCHORAGE,AK,995,99501,3443,4,81119901,"GENERAL PRACTICE ATTORNEY, LAWYER",59429905,COMIC BOOKS,73229900,,,
BOSCO'S COMICS CARDS & GAMES,800 E DIMOND BLVD STE 162,,ANCHORAGE,AK,995,99515,2054,3,59429905,COMIC BOOKS,57350200,"RECORDS, AUDIO DISCS, AND TAPES",59420000,BOOK STORES,59990000,"MISCELLANEOUS RETAIL STORES, NEC"
WIZARDS COMICS,101 LINCOLN ST,,FLORENCE,AL,356,35630,1753,3,59470104,GIFT SHOP,59429905,COMIC BOOKS,,,,
VISIONS CARDS & GAMES,107 N BURBANK DR,,MONTGOMERY,AL,361,36117,2837,3,59450000,"HOBBY, TOY, AND GAME SHOPS",59450203,"GAMES (CHESS, BACKGAMMON, AND OTHER DURABLE GAMES)",59429905,COMIC BOOKS,,
CAPTAINS COMICS,116 CAMBRIDGE TRL,,ALABASTER,AL,350,35007,5170,3,59429905,COMIC BOOKS,59999900,,59450200,TOYS AND GAMES,,
KINGDOM COMICS INC,1425 MONTGOMERY HWY STE 119,,VESTAVIA,AL,352,35216,3685,3,59429905,COMIC BOOKS,,,,,,
QUALITY COMIX,153 W MAIN ST,,PRATTVILLE,AL,360,36067,3033,3,59429905,COMIC BOOKS,,,,,,
DRAGONS COMIC LAIR,161 W GRANT ST,,CHICKASAW,AL,366,36611,2017,3,51929905,COMIC BOOKS,,,,,,
CAPITOL CITY COMIC SHOP,177A EASTERN BLVD,,MONTGOMERY,AL,361,36117,2007,3,59429905,COMIC BOOKS,,,,,,
COMIC SHOP,1815 6TH AVE SE STE D,,DECATUR,AL,356,35601,6000,3,59429905,COMIC BOOKS,,,,,,
HAVEN COMICS ETC,1871 SLAUGHTER RD STE R,,MADISON,AL,357,35758,8631,3,59429905,COMIC BOOKS,,,,,,
MATHEW CUTHBERT,1871 SLAUGHTER RD STE S,,MADISON,AL,357,35758,8631,3,59429905,COMIC BOOKS,,,,,,
DEEP COMICS & GAMES,2312 MEMORIAL PKWY SW STE C,,HUNTSVILLE,AL,358,35801,5646,3,59429905,COMIC BOOKS,,,,,,
CONSCIOUS COMICS,2511 MOUNTAIN LODGE CIR,,VESTAVIA,AL,352,35216,7109,4,59429905,COMIC BOOKS,,,,,,
KINGDOM COMICS INC,300 BURGUNDY DR,,ADAMSVILLE,AL,350,35005,1823,3,59429905,COMIC BOOKS,,,,,,
CROSSROA COMICS & GAMES,31 PACE ST,,OXFORD,AL,362,36203,1314,3,59429905,COMIC BOOKS,,,,,,
EXCELSIOR,3150 LORNA RD,,BIRMINGHAM,AL,352,35216,5421,3,59429905,COMIC BOOKS,,,,,,
LEGION,3248 CAHABA HEIGHTS RD,,VESTAVIA,AL,352,35243,1614,3,59470000,"GIFT, NOVELTY, AND SOUVENIR SHOP",59429905,COMIC BOOKS,,,,
HOBBIES & COLLECTIBLES,406 BROAD ST # A,,GADSDEN,AL,359,35901,3718,4,59479903,,59429905,COMIC BOOKS,,,,
EMPIRE COMICS,414 GLOVER AVE STE B,,ENTERPRISE,AL,363,36330,5800,3,59429905,COMIC BOOKS,,,,,,
COMIC STRIP,503 HARGROVE RD E,,TUSCALOOSA,AL,354,35401,3750,3,59429905,COMIC BOOKS,59470100,GIFTS AND NOVELTIES,,,,
DRAGON QUILLS COMIC BOOKS,506 BROAD ST,,GADSDEN,AL,359,35901,3720,3,51929905,COMIC BOOKS,,,,,,
SHONUFF COMICS,618 15TH ST,,TUSCALOOSA,AL,354,35401,4737,3,59429905,COMIC BOOKS,,,,,,
FCB GAMES & COMICS,650 CREEKSIDE DR,,OXFORD,AL,362,36203,1200,3,59429905,COMIC BOOKS,,,,,,
COLLECTOR'S CORNER,700 E GLENN AVE STE C,,AUBURN,AL,368,36830,5088,3,51929905,COMIC BOOKS,,,,,,
PHOENIX RISING GAMES & COMICS,730 MIDDLE ST,,MONTEVALLO,AL,351,35115,3701,3,59429905,COMIC BOOKS,,,,,,
COMICS & CARDS TRADING POST,7968 VAUGHN RD,,MONTGOMERY,AL,361,36116,6673,3,59429905,COMIC BOOKS,59470100,GIFTS AND NOVELTIES,,,,
HIT COMICS COINS-COLLECTABLES,900 BOB WALLACE AVE SW,,HUNTSVILLE,AL,358,35801,5691,4,59429905,COMIC BOOKS,,,,,,
BOB'S COMICS,979 GADSDEN HWY,,BIRMINGHAM,AL,352,35235,3041,3,59429905,COMIC BOOKS,,,,,,
12 GAUGE COMICS,PO BOX 1413,,PELHAM,AL,351,35124,5413,3,59429905,COMIC BOOKS,,,,,,
BAT CAVE,1155 FRONT ST STE 5,,CONWAY,AR,720,72032,4373,3,59429905,COMIC BOOKS,,,,,,
ROCK BOTTOM BOOKS,1206 N GARLAND AVE,,FAYETTEVILLE,AR,727,72703,1601,3,59429905,COMIC BOOKS,59470100,GIFTS AND NOVELTIES,,,,
HAWG HEAD COMICS,1600 S GREENWOOD AVE,,FORT SMITH,AR,729,72901,4212,3,59429905,COMIC BOOKS,,,,,,
SHANNON'S CARDS & COMICS,1722 FALLS BLVD N,,WYNNE,AR,723,72396,4022,3,59429905,COMIC BOOKS,,,,,,
GALAXY COMICS & GAMES,2322 E MATTHEWS AVE,,JONESBORO,AR,724,72401,4414,3,59429905,COMIC BOOKS,,,,,,
TIME MACHINE PRODUCTION,2600 ROGERS AVE,,FORT SMITH,AR,729,72901,4146,3,59429905,COMIC BOOKS,59429905,COMIC BOOKS,,,,
POW COMICS & GAMING,2801 OLD GREENWOOD RD,,FORT SMITH,AR,729,72903,4547,4,59429905,COMIC BOOKS,,,,,,
ALTERNATE WORLDS CARDS & COMIC,310 WYNN ST,,HOT SPRINGS,AR,719,71913,4821,3,59479903,,59429905,COMIC BOOKS,,,,
KAPOW COMICS,4047 E KIEHL AVE,,SHERWOOD,AR,721,72120,3514,3,59429905,COMIC BOOKS,,,,,,
STEVE BRYLES COTTON,514 W MAIN ST,,BLYTHEVILLE,AR,723,72315,3334,3,59429905,COMIC BOOKS,62210000,"COMMODITY CONTRACTS BROKERS, DEALERS",,,,
RON'S SPORTS CARDS,5912 S 31ST ST,,FORT SMITH,AR,729,72908,7559,3,59479903,,59429905,COMIC BOOKS,,,,
BULL PEN,5A GAPVIEW RD,,CONWAY,AR,720,72032,8812,3,59479903,,59429905,COMIC BOOKS,,,,
SPRINGDALE CARD & COMIC WHOLES,888 E ROBINSON AVE,,SPRINGDALE,AR,727,72764,7113,3,59479903,,51990000,"NONDURABLE GOODS, NEC",59429905,COMIC BOOKS,,
CORRELLIUM COMICS,902 KINGS DR,,BENTONVILLE,AR,727,72712,4921,3,59429905,COMIC BOOKS,,,,,,
SAMURAI COMICS INC,1051 E CAMELBACK RD,,PHOENIX,AZ,850,85014,3229,3,59429905,COMIC BOOKS,59440000,JEWELRY STORES,59450203,"GAMES (CHESS, BACKGAMMON, AND OTHER DURABLE GAMES)",,
JESSE JAMES COMICS,10620 N 43RD AVE STE 1,,GLENDALE,AZ,853,85304,4150,3,59429905,COMIC BOOKS,,,,,,
SAMURAI COMICS INC,10720 W INDIAN SCHOOL RD,,PHOENIX,AZ,850,85037,5721,4,50920200,TOYS AND GAMES,59429905,COMIC BOOKS,,,,
PYRIMID COMICS & GAMES,108 W FRY BLVD,,SIERRA VISTA,AZ,856,85635,1730,3,59429905,COMIC BOOKS,59479903,,,,,
